"Name
","1790
","1800
","1810
","1820
","1830
","1840
","1850
","1860
"
" Alabama
","
","494
","2,565
","41,879
","117,549
","253,532
","342,844
","435,080
"
" Arkansas
","
","
","136
","1,617
","4,576
","19,935
","47,100
","111,115
"
" California
","
","
","
","
","
","
","0
","0
"
" Colorado
","
","
","
","
","
","
","
","0
"
" Connecticut
","2,764
","951
","310
","97
","25
","17
","0
","0
"
" Delaware
","8,887
","6,153
","4,177
","4,509
","3,292
","2,605
","2,290
","1,798
"
" District of Columbia
","
","2,072
","3,554
","4,520
","4,505
","3,320
","3,687
","3,185
"
" Florida
","
","
","
","
","15,501
","25,717
","39,310
","61,745
"
" Georgia
","29,264
","59,699
","105,218
","149,656
","217,531
","280,944
","381,682
","462,198
"
" Illinois
","
","107
","168
","917
","747
","331
","0
","0
"
" Indiana
","
","28
","237
","190
","3
","3
","0
","0
"
" Iowa
","
","
","
","
","
","16
","0
","0
"
" Kansas
","
","
","
","
","
","
","
","2
"
" Kentucky
","12,430
","40,343
","80,561
","126,732
","165,213
","182,258
","210,981
","225,483
"
" Louisiana
","
","
","34,660
","69,064
","109,588
","168,452
","244,809
","331,726
"
" Maine
","0
","0
","0
","0
","2
","0
","0
","0
"
" Maryland
","103,036
","105,635
","111,502
","107,398
","102,994
","89,737
","90,368
","87,189
"
" Massachusetts
","0
","0
","0
","0
","1
","0
","0
","0
"
" Michigan
","
","0
","24
","0
","1
","0
","0
","0
"
" Minnesota
","
","
","
","
","
","
","0
","0
"
" Mississippi
","
","2,995
","14,523
","32,814
","65,659
","195,211
","309,878
","436,631
"
" Missouri
","
","
","2,875
","10,222
","25,091
","58,240
","87,422
","114,931
"
" Nebraska
","
","
","
","
","
","
","
","15
"
" Nevada
","
","
","
","
","
","
","
","0
"
" New Hampshire
","158
","8
","0
","0
","3
","1
","0
","0
"
" New Jersey
","11,423
","12,422
","10,851
","7,557
","2,254
","674
","236
","18
"
" New Mexico
","
","
","
","
","
","
","0
","0
"
" New York
","21,324
","20,613
","15,017
","10,088
","75
","4
","0
","0
"
" North Carolina
","100,572
","133,296
","168,824
","204,917
","245,601
","245,817
","288,548
","331,059
"
" Ohio
","
","0
","0
","0
","6
","3
","0
","0
"
" Oregon
","
","
","
","
","
","
","0
","0
"
" Pennsylvania
","3,737
","1,706
","795
","211
","403
","64
","0
","0
"
" Rhode Island
","948
","380
","108
","48
","17
","5
","0
","0
"
" South Carolina
","107,094
","146,151
","196,365
","258,475
","315,401
","327,038
","384,984
","402,406
"
" Tennessee
","3,417
","13,584
","44,535
","80,107
","141,603
","183,059
","239,459
","275,719
"
" Texas
","
","
","
","
","
","
","58,161
","182,566
"
" Utah
","
","
","
","
","
","
","26
","29
"
" Vermont
","0
","0
","0
","0
","0
","0
","0
","0
"
" Virginia [note 11]
","287,959
","339,499
","383,521
","411,886
","453,698
","431,873
","452,028
","472,494
"
" Washington
","
","
","
","
","
","0
","0
","0
"
" West Virginia [note 12]
","4,668
","7,172
","10,836
","15,169
","17,673
","18,488
","20,500
","18,371
"
" Wisconsin
","
","
","
","0
","31
","11
","0
","0
"
" United States
","697,681
","893,602
","1,191,362
","1,538,022
","2,009,043
","2,487,355
","3,204,313
","3,953,760
"
