"Jan 1, year",AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,"DC
"
1900,"1,830,000",n/a,"124,000","1,314,000","1,490,000","543,000","910,000","185,000","530,000","2,220,000",n/a,"163,000","4,828,000","2,518,000","2,231,000","1,473,000","2,148,000","1,384,000","695,000","1,189,000","2,788,000","2,423,000","1,754,000","1,553,000","3,108,000","245,000","1,067,000","43,000","412,000","1,884,000","196,000","7,283,000","1,897,000","321,000","4,161,000","800,000","415,000","6,313,000","430,000","1,342,000","403,000","2,023,000","3,055,000","277,000","344,000","1,858,000","523,000","959,000","2,072,000","93,000","278,000
"
1901,"1,907,000",n/a,"131,000","1,341,000","1,550,000","581,000","931,000","187,000","544,000","2,263,000",n/a,"176,000","4,914,000","2,541,000","2,227,000","1,490,000","2,162,000","1,412,000","699,000","1,200,000","2,794,000","2,450,000","1,805,000","1,578,000","3,128,000","261,000","1,078,000","45,000","412,000","1,889,000","206,000","7,449,000","1,926,000","346,000","4,216,000","916,000","434,000","6,439,000","441,000","1,361,000","418,000","2,041,000","3,132,000","284,000","347,000","1,887,000","583,000","972,000","2,109,000","100,000","285,000
"
1902,"1,935,000",n/a,"138,000","1,360,000","1,623,000","621,000","952,000","188,000","565,000","2,305,000",n/a,"199,000","4,992,000","2,567,000","2,222,000","1,505,000","2,177,000","1,440,000","703,000","1,210,000","2,856,000","2,477,000","1,862,000","1,603,000","3,147,000","270,000","1,089,000","49,000","409,000","1,917,000","218,000","7,612,000","1,956,000","371,000","4,322,000","1,027,000","454,000","6,567,000","450,000","1,379,000","431,000","2,060,000","3,210,000","292,000","349,000","1,894,000","651,000","1,000,000","2,141,000","105,000","290,000
"
1903,"1,957,000",n/a,"144,000","1,384,000","1,702,000","652,000","972,000","190,000","587,000","2,346,000",n/a,"216,000","5,071,000","2,594,000","2,217,000","1,498,000","2,191,000","1,467,000","709,000","1,209,000","2,924,000","2,505,000","1,901,000","1,628,000","3,166,000","282,000","1,104,000","52,000","394,000","1,969,000","229,000","7,771,000","1,986,000","396,000","4,386,000","1,118,000","479,000","6,699,000","460,000","1,397,000","437,000","2,082,000","3,291,000","299,000","350,000","1,890,000","719,000","1,037,000","2,171,000","108,000","295,000
"
1904,"1,978,000",n/a,"151,000","1,419,000","1,792,000","659,000","987,000","192,000","599,000","2,387,000",n/a,"229,000","5,161,000","2,614,000","2,212,000","1,527,000","2,205,000","1,495,000","719,000","1,217,000","2,969,000","2,534,000","1,945,000","1,653,000","3,185,000","293,000","1,119,000","56,000","407,000","2,050,000","242,000","7,927,000","2,017,000","421,000","4,458,000","1,200,000","504,000","6,833,000","471,000","1,415,000","452,000","2,086,000","3,374,000","308,000","353,000","1,889,000","782,000","1,064,000","2,202,000","111,000","302,000
"
1905,"2,012,000",n/a,"158,000","1,447,000","1,893,000","680,000","1,010,000","194,000","615,000","2,427,000",n/a,"246,000","5,241,000","2,635,000","2,211,000","1,555,000","2,220,000","1,523,000","723,000","1,237,000","3,018,000","2,579,000","1,981,000","1,678,000","3,204,000","305,000","1,129,000","59,000","423,000","2,151,000","255,000","8,084,000","2,051,000","446,000","4,530,000","1,277,000","530,000","6,970,000","481,000","1,433,000","461,000","2,111,000","3,459,000","316,000","354,000","1,917,000","842,000","1,094,000","2,231,000","114,000","308,000
"
1906,"2,045,000",n/a,"167,000","1,465,000","1,976,000","707,000","1,033,000","196,000","628,000","2,466,000",n/a,"262,000","5,309,000","2,663,000","2,214,000","1,576,000","2,234,000","1,551,000","729,000","1,251,000","3,107,000","2,626,000","1,987,000","1,703,000","3,223,000","322,000","1,138,000","64,000","415,000","2,239,000","269,000","8,289,000","2,077,000","474,000","4,587,000","1,349,000","555,000","7,110,000","492,000","1,451,000","477,000","2,136,000","3,546,000","327,000","355,000","1,942,000","904,000","1,122,000","2,250,000","118,000","313,000
"
1907,"2,058,000",n/a,"176,000","1,484,000","2,054,000","733,000","1,057,000","197,000","645,000","2,505,000",n/a,"277,000","5,384,000","2,679,000","2,217,000","1,612,000","2,249,000","1,579,000","731,000","1,257,000","3,183,000","2,693,000","1,995,000","1,728,000","3,242,000","332,000","1,149,000","68,000","423,000","2,314,000","283,000","8,499,000","2,105,000","501,000","4,630,000","1,414,000","580,000","7,253,000","505,000","1,468,000","498,000","2,136,000","3,636,000","339,000","355,000","1,952,000","967,000","1,149,000","2,268,000","125,000","317,000
"
1908,"2,070,000",n/a,"186,000","1,513,000","2,161,000","757,000","1,077,000","199,000","684,000","2,543,000",n/a,"291,000","5,474,000","2,677,000","2,220,000","1,629,000","2,263,000","1,607,000","735,000","1,269,000","3,251,000","2,722,000","2,020,000","1,753,000","3,260,000","346,000","1,161,000","73,000","428,000","2,403,000","298,000","8,714,000","2,142,000","528,000","4,677,000","1,498,000","610,000","7,398,000","519,000","1,485,000","527,000","2,164,000","3,727,000","351,000","354,000","1,994,000","1,028,000","1,174,000","2,292,000","133,000","321,000
"
1909,"2,108,000",n/a,"196,000","1,545,000","2,282,000","775,000","1,097,000","201,000","724,000","2,580,000",n/a,"311,000","5,567,000","2,678,000","2,223,000","1,658,000","2,278,000","1,634,000","740,000","1,289,000","3,316,000","2,771,000","2,051,000","1,777,000","3,279,000","363,000","1,177,000","78,000","431,000","2,487,000","314,000","8,935,000","2,174,000","555,000","4,701,000","1,585,000","643,000","7,546,000","532,000","1,502,000","553,000","2,177,000","3,821,000","363,000","356,000","2,038,000","1,091,000","1,203,000","2,317,000","141,000","327,000
"
